gene,trait
VCAM1,Multiple sclerosis
SOX8,Multiple sclerosis
SYK,Multiple sclerosis
TNFSF14,Multiple sclerosis
ZFP36L1,Multiple sclerosis
ZNF746,Multiple sclerosis
CYP24A1,Multiple sclerosis
FCRL3,Multiple sclerosis
MAF,Multiple sclerosis
MPV17L2,Multiple sclerosis
MYNN,Multiple sclerosis
NFKBIZ,Multiple sclerosis
THEMIS,Multiple sclerosis
PTPRK,Multiple sclerosis
RGS1,Multiple sclerosis
SAE1,Multiple sclerosis
SP140,Multiple sclerosis
MALT1,Multiple sclerosis
MAMSTR,Multiple sclerosis
NFKB1,Multiple sclerosis
MANBA,Multiple sclerosis
MAPK1,Multiple sclerosis
MERTK,Multiple sclerosis
MMEL1,Multiple sclerosis
MYB,Multiple sclerosis
MYC,Multiple sclerosis
OLIG3,Multiple sclerosis
NCOA5,Multiple sclerosis
NDFIP1,Multiple sclerosis
ODF3B,Multiple sclerosis
SCO2,Multiple sclerosis
IL7,Multiple sclerosis
PKIA,Multiple sclerosis
PLCL2,Multiple sclerosis
PVR,Multiple sclerosis
RGS14,Multiple sclerosis
RPS6KB1,Multiple sclerosis
RREB1,Multiple sclerosis
AGAP2,Multiple sclerosis
AHI1,Multiple sclerosis
BACH2,Multiple sclerosis
BATF,Multiple sclerosis
KIF21B,Multiple sclerosis
TMEM39A,Multiple sclerosis
CD5,Multiple sclerosis
CDC37,Multiple sclerosis
TYK2,Multiple sclerosis
CHST12,Multiple sclerosis
CLECL1,Multiple sclerosis
CXCR5,Multiple sclerosis
DDAH1,Multiple sclerosis
DKKL1,Multiple sclerosis
EXTL2,Multiple sclerosis
GPR65,Multiple sclerosis
HHEX,Multiple sclerosis
IL22RA2,Multiple sclerosis
TCF7,Multiple sclerosis
SLC15A2,Multiple sclerosis
ZBTB46,Multiple sclerosis
ZNF438,Multiple sclerosis
VAV2,Multiple sclerosis
ZNF433,Multiple sclerosis
CBLB,Multiple sclerosis
HLA-DQB1,Multiple sclerosis
ATXN1,Multiple sclerosis
VANGL2,Multiple sclerosis
STAT4,Multiple sclerosis
TOX2,Multiple sclerosis
CD28,Multiple sclerosis
DOCK10,Multiple sclerosis
LRRC34,Multiple sclerosis
TRIM14,Multiple sclerosis
RHOH,Multiple sclerosis
ASF1A,Multiple sclerosis
ALDH1L1,Multiple sclerosis
BCL2,Multiple sclerosis
IFNGR2,Multiple sclerosis
RAD51B,Multiple sclerosis
JADE2,Multiple sclerosis
CBFA2T3,Multiple sclerosis
IL10RB,Multiple sclerosis
OS9,Multiple sclerosis
CDHR3,Multiple sclerosis
TGFBR3,Multiple sclerosis
ABI3BP,Multiple sclerosis
WWOX,Multiple sclerosis
IL20RA,Multiple sclerosis
SLC2A4RG,Multiple sclerosis
GTDC1,Multiple sclerosis
TIMMDC1,Multiple sclerosis
RGS21,Multiple sclerosis
JAK1,Multiple sclerosis
ATP6V1G3,Multiple sclerosis
BCL9L,Multiple sclerosis
CD200R1,Multiple sclerosis
MCL1,Multiple sclerosis
ZBTB7B,Multiple sclerosis
NADK,Multiple sclerosis
FAM167B,Multiple sclerosis
LCK,Multiple sclerosis
PDE3B,Multiple sclerosis
SOCS1,Multiple sclerosis
SLC7A6OS,Multiple sclerosis
CDH3,Multiple sclerosis
INTS8,Multiple sclerosis
KIF27,Multiple sclerosis
JAZF1,Multiple sclerosis
PRICKLE1,Multiple sclerosis
TBX6,Multiple sclerosis
GALC,Multiple sclerosis
ETS1,Multiple sclerosis
ETV3L,Multiple sclerosis
KCP,Multiple sclerosis
NCOR2,Multiple sclerosis
ZNHIT3,Multiple sclerosis
IFI30,Multiple sclerosis
ZHX3,Multiple sclerosis
PHGDH,Multiple sclerosis
DRAP1,Multiple sclerosis
HTR3A,Multiple sclerosis
GFI1,Multiple sclerosis
ELMO1,Multiple sclerosis
PHKG1,Multiple sclerosis
MYBPC3,Multiple sclerosis
LTBR,Multiple sclerosis
CD226,Multiple sclerosis
BCAS1,Multiple sclerosis
BCL6,Multiple sclerosis
MCTP1,Multiple sclerosis
AFF1,Multiple sclerosis
RDX,Multiple sclerosis
TET2,Multiple sclerosis
APOA5,Multiple sclerosis
ERG,Multiple sclerosis
ZNF652,Multiple sclerosis
ESPN,Multiple sclerosis
FAM71B,Multiple sclerosis
TNFAIP8,Multiple sclerosis
PHLDB1,Multiple sclerosis
IFITM3,Multiple sclerosis
C1orf52,Multiple sclerosis
CLDN7,Multiple sclerosis
DLL4,Multiple sclerosis
SCAMP2,Multiple sclerosis
NGRN,Multiple sclerosis
RUNX3,Multiple sclerosis
SMG6,Multiple sclerosis
CNR2,Multiple sclerosis
TXK,Multiple sclerosis
FUCA2,Multiple sclerosis
IGSF23,Multiple sclerosis
MAPK10,Multiple sclerosis
ATF1,Multiple sclerosis
PITPNM2,Multiple sclerosis
CLEC2D,Multiple sclerosis
NR1D1,Multiple sclerosis
BATF3,Multiple sclerosis
HBS1L,Multiple sclerosis
CTSH,Multiple sclerosis
SLAMF1,Multiple sclerosis
NPEPPS,Multiple sclerosis
LPCAT1,Multiple sclerosis
DDX6,Multiple sclerosis
ITPR1,Multiple sclerosis
BHLHE40,Multiple sclerosis
VMP1,Multiple sclerosis
PDE4A,Multiple sclerosis
IL6,Multiple sclerosis
TRAF3,Multiple sclerosis
LY86,Multiple sclerosis
RCOR1,Multiple sclerosis
HORMAD1,Multiple sclerosis
UBXN6,Multiple sclerosis
DNMT3A,Multiple sclerosis
PRR5L,Multiple sclerosis
GATA3,Multiple sclerosis
SLC6A16,Multiple sclerosis
ZNF365,Multiple sclerosis
TNIP3,Multiple sclerosis
MTHFR,Multiple sclerosis
PTEN,Multiple sclerosis
KLF3,Multiple sclerosis
EPPK1,Multiple sclerosis
SH2B3,Multiple sclerosis
CSF2RB,Multiple sclerosis
ZNF217,Multiple sclerosis
SIDT1,Multiple sclerosis
GRB2,Multiple sclerosis
LIMK2,Multiple sclerosis
GIMAP6,Multiple sclerosis
LPP,Multiple sclerosis
NUDT12,Multiple sclerosis
DPP4,Multiple sclerosis
CAMK2G,Multiple sclerosis
SPRED2,Multiple sclerosis
PRDX5,Multiple sclerosis
TERT,Multiple sclerosis
UBE2E3,Multiple sclerosis
CR1L,Multiple sclerosis
NCF4,Multiple sclerosis
CRTAP,Multiple sclerosis
PLXNC1,Multiple sclerosis
ARHGEF3,Multiple sclerosis
IKZF3,Multiple sclerosis
LEF1,Multiple sclerosis
MRGPRE,Multiple sclerosis
ARHGEF10,Multiple sclerosis
ARL11,Multiple sclerosis
MMP10,Multiple sclerosis
HACE1,Multiple sclerosis
VTI1A,Multiple sclerosis
SAMD12,Multiple sclerosis
TLL1,Multiple sclerosis
RNASEL,Multiple sclerosis
DSC1,Multiple sclerosis
MAZ,Multiple sclerosis
SHMT1,Multiple sclerosis
ANKRD55,Multiple sclerosis
TNFRSF14,Multiple sclerosis
KL,Multiple sclerosis
DLEU7,Multiple sclerosis
JDP2,Multiple sclerosis
RASGRP1,Multiple sclerosis
CCL22,Multiple sclerosis
FPR2,Multiple sclerosis
FPR3,Multiple sclerosis
SLAMF6,Multiple sclerosis
TRIB2,Multiple sclerosis
ITGA4,Multiple sclerosis
CTLA4,Multiple sclerosis
C3orf80,Multiple sclerosis
SH3BP2,Multiple sclerosis
FNDC1,Multiple sclerosis
FAM167A,Multiple sclerosis
NCOA2,Multiple sclerosis
LPIN3,Multiple sclerosis
RBM17,Multiple sclerosis
PLEKHG5,Multiple sclerosis
BCL10,Multiple sclerosis
IQGAP1,Multiple sclerosis
RMI2,Multiple sclerosis
PXT1,Multiple sclerosis
SLC9A8,Multiple sclerosis
CD69,Multiple sclerosis
TSFM,Multiple sclerosis
TEF,Multiple sclerosis
IQCB1,Multiple sclerosis
TNFAIP3,Multiple sclerosis
ZC2HC1A,Multiple sclerosis
AGBL2,Multiple sclerosis
FCRL1,Multiple sclerosis
SLAMF7,Multiple sclerosis
CENPO,Multiple sclerosis
CCR4,Multiple sclerosis
FOXP1,Multiple sclerosis
SLC44A2,Multiple sclerosis
CARD11,Multiple sclerosis
TREH,Multiple sclerosis
IKZF1,Multiple sclerosis
CSGALNACT2,Multiple sclerosis
CD48,Multiple sclerosis
NLRC5,Multiple sclerosis
CHD7,Multiple sclerosis
LBH,Multiple sclerosis
PREP,Multiple sclerosis
SLC9B1,Multiple sclerosis
PUS10,Multiple sclerosis
RRAS2,Multiple sclerosis
TTC28,Multiple sclerosis
ZC3HAV1,Multiple sclerosis
SLC7A10,Multiple sclerosis
RCL1,Multiple sclerosis
ETV7,Multiple sclerosis
KLF6,Multiple sclerosis
UCK2,Multiple sclerosis
HOXA1,Multiple sclerosis
ADCY3,Multiple sclerosis
SETD1A,Multiple sclerosis
SYDE2,Multiple sclerosis
LZTFL1,Multiple sclerosis
MEF2B,Multiple sclerosis
CD2,Multiple sclerosis
FRMD6,Multiple sclerosis
CLU,Alzheimer's disease
PICALM,Alzheimer's disease
APOE,Alzheimer's disease
TOMM40,Alzheimer's disease
ZNF224,Alzheimer's disease
DISC1,Alzheimer's disease
PAX2,Alzheimer's disease
TTLL7,Alzheimer's disease
SASH1,Alzheimer's disease
RFC3,Alzheimer's disease
SLC4A1AP,Alzheimer's disease
POLN,Alzheimer's disease
CNTNAP2,Alzheimer's disease
STK24,Alzheimer's disease
BIN1,Alzheimer's disease
CR1,Alzheimer's disease
APOC1,Alzheimer's disease
MMP3,Alzheimer's disease
MMP12,Alzheimer's disease
PPP1R3B,Alzheimer's disease
ABCA7,Alzheimer's disease
MS4A4E,Alzheimer's disease
MS4A6A,Alzheimer's disease
FRMD4A,Alzheimer's disease
CD33,Alzheimer's disease
TREM2,Alzheimer's disease
BCAM,Alzheimer's disease
PVR,Alzheimer's disease
EXOC3L2,Alzheimer's disease
BCL3,Alzheimer's disease
MS4A3,Alzheimer's disease
FANCD2,Alzheimer's disease
FANCD2OS,Alzheimer's disease
RELN,Alzheimer's disease
MSRA,Alzheimer's disease
BMPER,Alzheimer's disease
HBEGF,Alzheimer's disease
PFDN1,Alzheimer's disease
USP6NL,Alzheimer's disease
ECHDC3,Alzheimer's disease
MS4A2,Alzheimer's disease
ANKRD31,Alzheimer's disease
SORL1,Alzheimer's disease
MAPT,Alzheimer's disease
EPHA1,Alzheimer's disease
RIN3,Alzheimer's disease
MEF2C,Alzheimer's disease
ZCWPW1,Alzheimer's disease
NME8,Alzheimer's disease
CELF1,Alzheimer's disease
HLA-DRB5,Alzheimer's disease
PTK2B,Alzheimer's disease
CD2AP,Alzheimer's disease
TP53INP1,Alzheimer's disease
NDUFAF6,Alzheimer's disease
SCIMP,Alzheimer's disease
ANTXR1,Alzheimer's disease
PAX5,Alzheimer's disease
KBTBD8,Alzheimer's disease
TNXB,Alzheimer's disease
LHX1,Alzheimer's disease
SFSWAP,Alzheimer's disease
MAPK7,Alzheimer's disease
FBXL13,Alzheimer's disease
LINC00634,Alzheimer's disease
SFT2D2,Alzheimer's disease
TRH,Alzheimer's disease
MRPL39,Alzheimer's disease
TRIM56,Alzheimer's disease
STK32B,Alzheimer's disease
AP2A2,Alzheimer's disease
SYK,Alzheimer's disease
MYO16,Alzheimer's disease
MAP4K4,Alzheimer's disease
FZD1,Schizophrenia
ACSM1,Schizophrenia
PLAA,Schizophrenia
ANK3,Schizophrenia
ZNF804A,Schizophrenia
GRIK3,Schizophrenia
NOTCH4,Schizophrenia
NKAIN2,Schizophrenia
TCF4,Schizophrenia
CLC,Schizophrenia
FEZ1,Schizophrenia
PRRC2A,Schizophrenia
BAG6,Schizophrenia
NT5C2,Schizophrenia
AS3MT,Schizophrenia
CNNM2,Schizophrenia
BRD1,Schizophrenia
SEC16B,Schizophrenia
FBXO11,Schizophrenia
ARHGAP31,Schizophrenia
POM121L2,Schizophrenia
SLC17A1,Schizophrenia
BTN3A2,Schizophrenia
BTN2A2,Schizophrenia
BTN3A1,Schizophrenia
ZNF184,Schizophrenia
PRSS16,Schizophrenia
SLC17A3,Schizophrenia
HLA-DQA1,Schizophrenia
CACNA1C,Schizophrenia
DPYD,Schizophrenia
PTBP2,Schizophrenia
SNX8,Schizophrenia
NUDT1,Schizophrenia
MAD1L1,Schizophrenia
MMP16,Schizophrenia
PKNOX2,Schizophrenia
CSMD1,Schizophrenia
VRK2,Schizophrenia
SLCO6A1,Schizophrenia
NRGN,Schizophrenia
FXR1,Schizophrenia
CCDC60,Schizophrenia
EXOC2,Schizophrenia
PPFIA2,Schizophrenia
CNTNAP5,Schizophrenia
TMTC1,Schizophrenia
DCAF6,Schizophrenia
LSM1,Schizophrenia
TRIM26,Schizophrenia
CACNA1I,Schizophrenia
ARNTL,Schizophrenia
CDH13,Schizophrenia
TSNARE1,Schizophrenia
TLE1,Schizophrenia
CACNB2,Schizophrenia
ARL3,Schizophrenia
CYP17A1,Schizophrenia
INA,Schizophrenia
PCGF6,Schizophrenia
PDCD11,Schizophrenia
SFXN2,Schizophrenia
TAF5,Schizophrenia
TRIM8,Schizophrenia
WBP1L,Schizophrenia
LUZP2,Schizophrenia
BTBD18,Schizophrenia
CLP1,Schizophrenia
CTNND1,Schizophrenia
MED19,Schizophrenia
SERPING1,Schizophrenia
TMX2,Schizophrenia
YPEL4,Schizophrenia
ZDHHC5,Schizophrenia
C11orf87,Schizophrenia
DRD2,Schizophrenia
GRAMD1B,Schizophrenia
ESAM,Schizophrenia
MSANTD2,Schizophrenia
VSIG2,Schizophrenia
SNX19,Schizophrenia
IGSF9B,Schizophrenia
LRP1,Schizophrenia
MYO1A,Schizophrenia
NAB2,Schizophrenia
NDUFA4L2,Schizophrenia
NXPH4,Schizophrenia
R3HDM2,Schizophrenia
SHMT2,Schizophrenia
STAC3,Schizophrenia
STAT6,Schizophrenia
TAC3,Schizophrenia
C12orf42,Schizophrenia
ATP2A2,Schizophrenia
ABCB9,Schizophrenia
ARL6IP4,Schizophrenia
C12orf65,Schizophrenia
CDK2AP1,Schizophrenia
MPHOSPH9,Schizophrenia
OGFOD2,Schizophrenia
PITPNM2,Schizophrenia
RILPL2,Schizophrenia
SBNO1,Schizophrenia
PRKD1,Schizophrenia
RGS6,Schizophrenia
BCL11B,Schizophrenia
BAG5,Schizophrenia
CKB,Schizophrenia
KLC1,Schizophrenia
PPP1R13B,Schizophrenia
TRMT61A,Schizophrenia
XRCC3,Schizophrenia
ZFYVE21,Schizophrenia
ANKRD63,Schizophrenia
PAK6,Schizophrenia
PLCB2,Schizophrenia
CCDC39,Schizophrenia
DNAJC19,Schizophrenia
PLCH2,Schizophrenia
SLC39A8,Schizophrenia
KDM4A,Schizophrenia
PTPRF,Schizophrenia
GPM6A,Schizophrenia
ZSWIM6,Schizophrenia
MAN2A1,Schizophrenia
AKT3,Schizophrenia
SDCCAG8,Schizophrenia
GRIA1,Schizophrenia
CYP26B1,Schizophrenia
FUT9,Schizophrenia
ANKRD44,Schizophrenia
BOLL,Schizophrenia
COQ10B,Schizophrenia
HSPD1,Schizophrenia
HSPE1,Schizophrenia
MARS2,Schizophrenia
PLCL1,Schizophrenia
RFTN2,Schizophrenia
SF3B1,Schizophrenia
PUS7,Schizophrenia
SRPK2,Schizophrenia
CUL3,Schizophrenia
PODXL,Schizophrenia
CNTN4,Schizophrenia
TRANK1,Schizophrenia
CA8,Schizophrenia
ATXN7,Schizophrenia
C3orf49,Schizophrenia
PSMD6,Schizophrenia
THOC7,Schizophrenia
KCNV1,Schizophrenia
IMMP2L,Schizophrenia
CLCN3,Schizophrenia
NEK1,Schizophrenia
LRRIQ3,Schizophrenia
HCN1,Schizophrenia
ANP32E,Schizophrenia
APH1A,Schizophrenia
C1orf54,Schizophrenia
CA14,Schizophrenia
OTUD7B,Schizophrenia
PLEKHO1,Schizophrenia
VPS45,Schizophrenia
MEF2C,Schizophrenia
CD46,Schizophrenia
CR1L,Schizophrenia
CDC25C,Schizophrenia
CTNNA1,Schizophrenia
EGR1,Schizophrenia
ETF1,Schizophrenia
FAM53C,Schizophrenia
GFRA3,Schizophrenia
HSPA9,Schizophrenia
KDM3B,Schizophrenia
REEP2,Schizophrenia
FANCL,Schizophrenia
GALNT10,Schizophrenia
DPP4,Schizophrenia
SLC4A10,Schizophrenia
RIMS1,Schizophrenia
GRM3,Schizophrenia
SATB2,Schizophrenia
EFHD1,Schizophrenia
GIGYF2,Schizophrenia
KCNJ13,Schizophrenia
NGEF,Schizophrenia
DGKI,Schizophrenia
PTN,Schizophrenia
TBC1D5,Schizophrenia
CLU,Schizophrenia
EPHX2,Schizophrenia
GLT8D1,Schizophrenia
GNL3,Schizophrenia
ITIH1,Schizophrenia
ITIH3,Schizophrenia
ITIH4,Schizophrenia
MUSTN1,Schizophrenia
NEK4,Schizophrenia
NISCH,Schizophrenia
NT5DC2,Schizophrenia
PBRM1,Schizophrenia
SMIM4,Schizophrenia
SPCS1,Schizophrenia
STAB1,Schizophrenia
MSL2,Schizophrenia
NCK1,Schizophrenia
PCCB,Schizophrenia
PPP2R3A,Schizophrenia
SLC35G2,Schizophrenia
STAG1,Schizophrenia
TLE3,Schizophrenia
CHRNA3,Schizophrenia
CHRNA5,Schizophrenia
CHRNB4,Schizophrenia
IREB2,Schizophrenia
PSMA4,Schizophrenia
ADAMTSL3,Schizophrenia
GOLGA6L4,Schizophrenia
ZSCAN2,Schizophrenia
FES,Schizophrenia
FURIN,Schizophrenia
MAN2A2,Schizophrenia
GRIN2A,Schizophrenia
ERCC4,Schizophrenia
ALDOA,Schizophrenia
ASPHD1,Schizophrenia
C16orf92,Schizophrenia
DOC2A,Schizophrenia
GDPD3,Schizophrenia
HIRIP3,Schizophrenia
INO80E,Schizophrenia
KCTD13,Schizophrenia
MAPK3,Schizophrenia
PPP4C,Schizophrenia
SEZ6L2,Schizophrenia
TAOK2,Schizophrenia
TBX6,Schizophrenia
TMEM219,Schizophrenia
YPEL3,Schizophrenia
CNOT1,Schizophrenia
SLC38A7,Schizophrenia
ACD,Schizophrenia
C16orf86,Schizophrenia
CENPT,Schizophrenia
CTRL,Schizophrenia
DDX28,Schizophrenia
DPEP2,Schizophrenia
DPEP3,Schizophrenia
EDC4,Schizophrenia
ENKD1,Schizophrenia
ESRP2,Schizophrenia
GFOD2,Schizophrenia
LCAT,Schizophrenia
NFATC3,Schizophrenia
NRN1L,Schizophrenia
NUTF2,Schizophrenia
PARD6A,Schizophrenia
PLA2G15,Schizophrenia
PSKH1,Schizophrenia
PSMB10,Schizophrenia
RANBP10,Schizophrenia
SLC12A4,Schizophrenia
SLC7A6,Schizophrenia
SLC7A6OS,Schizophrenia
THAP11,Schizophrenia
TSNAXIP1,Schizophrenia
SGSM2,Schizophrenia
SMG6,Schizophrenia
SRR,Schizophrenia
TSR1,Schizophrenia
ATPAF2,Schizophrenia
DRG2,Schizophrenia
GID4,Schizophrenia
MYO15A,Schizophrenia
RAI1,Schizophrenia
SREBF1,Schizophrenia
TOM1L2,Schizophrenia
CILP2,Schizophrenia
GATAD2A,Schizophrenia
HAPLN4,Schizophrenia
MAU2,Schizophrenia
NCAN,Schizophrenia
NDUFA13,Schizophrenia
PBX4,Schizophrenia
SUGP1,Schizophrenia
TM6SF2,Schizophrenia
TSSK6,Schizophrenia
ZNF536,Schizophrenia
NOSIP,Schizophrenia
PRR12,Schizophrenia
PRRG2,Schizophrenia
RCN3,Schizophrenia
RRAS,Schizophrenia
SCAF1,Schizophrenia
ACTR5,Schizophrenia
PPP1R16B,Schizophrenia
SLC32A1,Schizophrenia
KCNB1,Schizophrenia
PTGIS,Schizophrenia
CHADL,Schizophrenia
EP300,Schizophrenia
L3MBTL2,Schizophrenia
RANGAP1,Schizophrenia
CENPM,Schizophrenia
CYP2D6,Schizophrenia
NAGA,Schizophrenia
NDUFA6,Schizophrenia
SHISA8,Schizophrenia
SMDT1,Schizophrenia
SREBF2,Schizophrenia
TCF20,Schizophrenia
TNFRSF13C,Schizophrenia
WBP2NL,Schizophrenia
RELN,Schizophrenia
NDST3,Schizophrenia
LIPC,Schizophrenia
GPN1,Schizophrenia
MRPL33,Schizophrenia
RBKS,Schizophrenia
SLC4A1AP,Schizophrenia
SUPT7L,Schizophrenia
MECR,Schizophrenia
SRSF4,Schizophrenia
SOWAHC,Schizophrenia
LINGO2,Schizophrenia
MKNK1,Schizophrenia
KIT,Schizophrenia
LMBR1,Schizophrenia
NOM1,Schizophrenia
TBX1,Schizophrenia
GNB1L,Schizophrenia
PEPD,Schizophrenia
CEBPG,Schizophrenia
CTDP1,Schizophrenia
ADAMTS6,Schizophrenia
PCDH20,Schizophrenia
CXCL12,Schizophrenia
ZFYVE28,Schizophrenia
RORA,Schizophrenia
HLA-DRB1,Schizophrenia
KIF26B,Schizophrenia
NLRC5,Schizophrenia
AGBL1,Schizophrenia
STT3A,Schizophrenia
CCDC68,Schizophrenia
CALHM1,Schizophrenia
CALHM2,Schizophrenia
CALHM3,Schizophrenia
NSUN6,Schizophrenia
GMIP,Schizophrenia
LPAR2,Schizophrenia
YJEFN3,Schizophrenia
CEBPZ,Schizophrenia
PRKD3,Schizophrenia
SULT6B1,Schizophrenia
QPCT,Schizophrenia
PHF7,Schizophrenia
GLYCTK,Schizophrenia
DNAH1,Schizophrenia
BAP1,Schizophrenia
ALAS1,Schizophrenia
WDR82,Schizophrenia
TWF2,Schizophrenia
TNNC1,Schizophrenia
TLR9,Schizophrenia
SFMBT1,Schizophrenia
SEMA3G,Schizophrenia
RFT1,Schizophrenia
PPM1M,Schizophrenia
ZEB2,Schizophrenia
SPATS2L,Schizophrenia
C2orf69,Schizophrenia
TYW5,Schizophrenia
CEP170,Schizophrenia
NKAPL,Schizophrenia
TSPAN18,Schizophrenia
NRP1,Schizophrenia
PARD3,Schizophrenia
CEACAM21,Schizophrenia
MSRA,Schizophrenia
HHAT,Schizophrenia
SYT13,Schizophrenia
C1orf167,Schizophrenia
TENM2,Schizophrenia
GABBR1,Schizophrenia
CCDC182,Schizophrenia
TNKS,Schizophrenia
CDIP1,Schizophrenia
CORO7,Schizophrenia
DNAJA3,Schizophrenia
NMRAL1,Schizophrenia
KCNG2,Schizophrenia
OTOL1,Schizophrenia
POLG,Schizophrenia
RLBP1,Schizophrenia
NOS1,Schizophrenia
MAGI2,Schizophrenia
HACE1,Schizophrenia
LIN28B,Schizophrenia
EYS,Schizophrenia
PHF3,Schizophrenia
PTP4A1,Schizophrenia
BTG1,Schizophrenia
CDH11,Schizophrenia
EMB,Schizophrenia
AP3B2,Schizophrenia
CPEB1,Schizophrenia
BDH2,Schizophrenia
CENPE,Schizophrenia
CISD2,Schizophrenia
SLC9B1,Schizophrenia
ADGRV1,Schizophrenia
NDUFA2,Schizophrenia
PCDHA1,Schizophrenia
PCDHA10,Schizophrenia
PCDHA13,Schizophrenia
PCDHA2,Schizophrenia
PCDHA3,Schizophrenia
PCDHA4,Schizophrenia
PCDHA5,Schizophrenia
PCDHA7,Schizophrenia
PCDHA8,Schizophrenia
PCDHAC2,Schizophrenia
PCDHB3,Schizophrenia
SRA1,Schizophrenia
TMCO6,Schizophrenia
WDR55,Schizophrenia
ZMAT2,Schizophrenia
FLRT2,Schizophrenia
ERI1,Schizophrenia
CDSN,Schizophrenia
GTF2H4,Schizophrenia
PPP1R3A,Schizophrenia
HYAL3,Schizophrenia
RASSF1,Schizophrenia
FYN,Schizophrenia
CALN1,Schizophrenia
YWHAE,Schizophrenia
GPD1L,Schizophrenia
ZNF860,Schizophrenia
MATN1,Schizophrenia
PTPRU,Schizophrenia
MSI2,Schizophrenia
AKAP6,Schizophrenia
NPAS3,Schizophrenia
CSDC2,Schizophrenia
MCHR1,Schizophrenia
POLR3H,Schizophrenia
XPNPEP3,Schizophrenia
ZC3H7B,Schizophrenia
ECM1,Schizophrenia
MRPS21,Schizophrenia
RPRD2,Schizophrenia
ZKSCAN3,Schizophrenia
ZSCAN23,Schizophrenia
JMJD1C,Schizophrenia
NRBF2,Schizophrenia
DMTF1,Schizophrenia
ERGIC3,Schizophrenia
AMBRA1,Schizophrenia
CHRM4,Schizophrenia
DGKZ,Schizophrenia
MDK,Schizophrenia
EMX1,Schizophrenia
MTMR7,Schizophrenia
VPS37A,Schizophrenia
ZDHHC2,Schizophrenia
RERE,Schizophrenia
SLC45A1,Schizophrenia
MRAP2,Schizophrenia
SNAP91,Schizophrenia
VPS13C,Schizophrenia
FOXO3,Schizophrenia
AKAP10,Schizophrenia
SPECC1,Schizophrenia
MED8,Schizophrenia
ST3GAL3,Schizophrenia
LRRN3,Schizophrenia
NMUR2,Schizophrenia
ANAPC7,Schizophrenia
DCLK3,Schizophrenia
MLH1,Schizophrenia
BAG4,Schizophrenia
DDHD2,Schizophrenia
LETM2,Schizophrenia
BNIP3L,Schizophrenia
PPP2R2A,Schizophrenia
GSDMD,Schizophrenia
MROH6,Schizophrenia
EEF1D,Schizophrenia
TIGD5,Schizophrenia
BMPR1B,Schizophrenia
PRMT7,Schizophrenia
KIAA1217,Schizophrenia
CLSTN3,Schizophrenia
HIP1R,Schizophrenia
NRXN3,Schizophrenia
RYR3,Schizophrenia
