gene,trait
DAB2IP,Coronary artery disease
FHL5,Coronary artery disease
IGF2R,Coronary artery disease
CNPY4,Coronary artery disease
MBLAC1,Coronary artery disease
TAF6,Coronary artery disease
ASZ1,Coronary artery disease
MAP3K11,Coronary artery disease
CWF19L2,Coronary artery disease
TSPAN9,Coronary artery disease
PPHLN1,Coronary artery disease
LRP1,Coronary artery disease
NDUFA12,Coronary artery disease
CCDC92,Coronary artery disease
DNAH10,Coronary artery disease
N4BP2L2,Coronary artery disease
PCIF1,Coronary artery disease
ZNF335,Coronary artery disease
CDC25A,Coronary artery disease
RBPMS2,Coronary artery disease
FKBP5,Coronary artery disease
DDX59,Coronary artery disease
MAT2A,Coronary artery disease
DHX38,Coronary artery disease
TXNL4B,Coronary artery disease
CLCN6,Coronary artery disease
MTHFR,Coronary artery disease
LDLRAD2,Coronary artery disease
PKN2,Coronary artery disease
ADAMTSL4,Coronary artery disease
MCL1,Coronary artery disease
ATF3,Coronary artery disease
GOSR2,Coronary artery disease
APOA5,Coronary artery disease
ZNF652,Coronary artery disease
AS3MT,Coronary artery disease
PROCR,Coronary artery disease
ARNTL,Coronary artery disease
NEK9,Coronary artery disease
MAP3K1,Coronary artery disease
SETD9,Coronary artery disease
SRFBP1,Coronary artery disease
CEP120,Coronary artery disease
NEDD9,Coronary artery disease
CFB,Coronary artery disease
NELFE,Coronary artery disease
SKIV2L,Coronary artery disease
ABCC10,Coronary artery disease
ADCY3,Coronary artery disease
CENPO,Coronary artery disease
DYNC2LI1,Coronary artery disease
PLEKHH2,Coronary artery disease
MPHOSPH10,Coronary artery disease
IL1F10,Coronary artery disease
SFT2D3,Coronary artery disease
WDR33,Coronary artery disease
KCNH7,Coronary artery disease
COL4A4,Coronary artery disease
KCNJ13,Coronary artery disease
AMT,Coronary artery disease
RHOA,Coronary artery disease
TCTA,Coronary artery disease
RGS12,Coronary artery disease
POLR2B,Coronary artery disease
PDLIM5,Coronary artery disease
TBX2,Coronary artery disease
APOH,Coronary artery disease
ABCA8,Coronary artery disease
CD300LF,Coronary artery disease
RAB37,Coronary artery disease
FBF1,Coronary artery disease
LIPG,Coronary artery disease
KANK2,Coronary artery disease
FCHO1,Coronary artery disease
FOXA3,Coronary artery disease
SYMPK,Coronary artery disease
PRKD2,Coronary artery disease
DSTN,Coronary artery disease
RRBP1,Coronary artery disease
NCOA6,Coronary artery disease
ITPKA,Coronary artery disease
RTF1,Coronary artery disease
STOML1,Coronary artery disease
AKAP13,Coronary artery disease
KIAA1217,Coronary artery disease
NRP1,Coronary artery disease
PRKG1,Coronary artery disease
TCF7L2,Coronary artery disease
DENND5A,Coronary artery disease
BDNF,Coronary artery disease
RRP1B,Coronary artery disease
CABIN1,Coronary artery disease
SUSD2,Coronary artery disease
SPECC1L,Coronary artery disease
APOA4,Coronary artery disease
RAB23,Coronary artery disease
SLC18A1,Coronary artery disease
TRPM3,Coronary artery disease
JCAD,Coronary artery disease
NAA25,Coronary artery disease
MORF4L1,Coronary artery disease
CCDC68,Coronary artery disease
C11orf58,Coronary artery disease
WT1,Coronary artery disease
LRRC10B,Coronary artery disease
R3HDM2,Coronary artery disease
KCTD10,Coronary artery disease
PSD3,Coronary artery disease
CDH17,Coronary artery disease
NCALD,Coronary artery disease
KLF4,Coronary artery disease
ACTL7B,Coronary artery disease
CDC123,Coronary artery disease
OIT3,Coronary artery disease
SIRT3,Coronary artery disease
FARP1,Coronary artery disease
EIF2B2,Coronary artery disease
TLNRD1,Coronary artery disease
CFAP161,Coronary artery disease
HPR,Coronary artery disease
FOXL1,Coronary artery disease
COPRS,Coronary artery disease
WNT9B,Coronary artery disease
MBTD1,Coronary artery disease
PRKAR1A,Coronary artery disease
SMAD7,Coronary artery disease
DYM,Coronary artery disease
MMP24,Coronary artery disease
MMP9,Coronary artery disease
PREX1,Coronary artery disease
ZNF831,Coronary artery disease
RGS19,Coronary artery disease
CASTOR1,Coronary artery disease
CTSS,Coronary artery disease
TTC32,Coronary artery disease
LDAH,Coronary artery disease
MREG,Coronary artery disease
EFHD1,Coronary artery disease
PDE5A,Coronary artery disease
NRSN1,Coronary artery disease
TNXB,Coronary artery disease
ATF6B,Coronary artery disease
SAYSD1,Coronary artery disease
ZNF32,Coronary artery disease
WBP1L,Coronary artery disease
WDR11,Coronary artery disease
FGFR2,Coronary artery disease
RASSF10,Coronary artery disease
RDX,Coronary artery disease
FDX1,Coronary artery disease
HOXC4,Coronary artery disease
SMUG1,Coronary artery disease
KLHL29,Coronary artery disease
ARHGAP20,Coronary artery disease
NR2C1,Coronary artery disease
CUX2,Coronary artery disease
UBE3B,Coronary artery disease
RPH3A,Coronary artery disease
TMED10,Coronary artery disease
BLM,Coronary artery disease
SLC5A3,Coronary artery disease
LOX,Coronary artery disease
ITGB5,Coronary artery disease
RAD50,Asthma
SCG3,Asthma
PDE4D,Asthma
IL13,Asthma
IL18R1,Asthma
IL33,Asthma
GSDMA,Asthma
IL2RB,Asthma
SMAD3,Asthma
GSDMB,Asthma
SLC22A5,Asthma
RORA,Asthma
CRB1,Asthma
DENND1B,Asthma
ORMDL3,Asthma
IL1RL1,Asthma
HLA-DRA,Asthma
BTNL2,Asthma
NDFIP1,Asthma
ACO1,Asthma
ZNF665,Asthma
IL1R1,Asthma
SLC30A8,Asthma
GAB1,Asthma
TSLP,Asthma
PBX2,Asthma
NOTCH4,Asthma
IKZF4,Asthma
CDK2,Asthma
HLA-DQB1,Asthma
HLA-DQA2,Asthma
HLA-DOA,Asthma
PCDH20,Asthma
PRKG1,Asthma
IL6R,Asthma
LRRC32,Asthma
HLA-DQA1,Asthma
CRCT1,Asthma
C11orf71,Asthma
PYHIN1,Asthma
ZPBP2,Asthma
HLA-DRB5,Asthma
RANBP6,Asthma
SLC25A46,Asthma
IL1RL2,Asthma
HLA-C,Asthma
MICA,Asthma
D2HGDH,Asthma
CLEC16A,Asthma
B4GALT3,Asthma
ADAMTS4,Asthma
GATA3,Asthma
TPD52,Asthma
ZBTB10,Asthma
TLR1,Asthma
BACH2,Asthma
STAT6,Asthma
LRP1,Asthma
LPP,Asthma
ADORA1,Asthma
ID2,Asthma
CD247,Asthma
RAD51B,Asthma
CDHR3,Asthma
TNFSF18,Asthma
TNFSF4,Asthma
PEX14,Asthma
MYC,Asthma
TGFBR1,Asthma
TNFSF15,Asthma
TRAF1,Asthma
NEK6,Asthma
ZDHHC12,Asthma
ARRDC1,Asthma
IL2RA,Asthma
ZNF365,Asthma
KIF11,Asthma
MUC2,Asthma
PRR5L,Asthma
FADS2,Asthma
OVOL1,Asthma
SIK2,Asthma
CXCR5,Asthma
ETS1,Asthma
HDAC7,Asthma
TESPA1,Asthma
TBL1XR1,Asthma
NRROS,Asthma
ADAD1,Asthma
OTULINL,Asthma
TNFAIP8,Asthma
RAPGEF6,Asthma
CYFIP2,Asthma
SLU7,Asthma
ATP10B,Asthma
SLC34A1,Asthma
MYLK4,Asthma
HIVEP1,Asthma
MBOAT1,Asthma
BTN3A2,Asthma
TRIM27,Asthma
RING1,Asthma
ATG5,Asthma
SESN1,Asthma
PTPRK,Asthma
AHI1,Asthma
TNFAIP3,Asthma
HIVEP2,Asthma
ZC3H12D,Asthma
SCAF8,Asthma
ABCB5,Asthma
IL6,Asthma
JAZF1,Asthma
IKZF1,Asthma
GSAP,Asthma
MAF1,Asthma
SHARPIN,Asthma
COL15A1,Asthma
SCUBE3,Asthma
KYNU,Asthma
DPP4,Asthma
CCL20,Asthma
RAF1,Asthma
PLCL2,Asthma
GLB1,Asthma
DCAF1,Asthma
RYBP,Asthma
CD200R1,Asthma
CD80,Asthma
ZBTB38,Asthma
IL7R,Asthma
PTCD2,Asthma
ABO,Asthma
EYA2,Asthma
RTEL1,Asthma
RUNX1,Asthma
PCP4,Asthma
UBASH3A,Asthma
MAP3K8,Asthma
RASGEF1A,Asthma
FUT11,Asthma
WBP1L,Asthma
MUC16,Asthma
MYO9B,Asthma
SLC7A10,Asthma
BCL3,Asthma
FOXA3,Asthma
NFATC2,Asthma
ZNF217,Asthma
NCF4,Asthma
PHF5A,Asthma
RERE,Asthma
TNFRSF8,Asthma
RUNX3,Asthma
COL16A1,Asthma
ADAMTSL4,Asthma
FLG,Asthma
CADM3,Asthma
FCER1G,Asthma
PTPRC,Asthma
SRGAP2,Asthma
BATF3,Asthma
ITPKB,Asthma
LBH,Asthma
DYSF,Asthma
TSPAN8,Asthma
PLXNC1,Asthma
BRAP,Asthma
SPPL3,Asthma
COG6,Asthma
KLF12,Asthma
UBAC2,Asthma
NFKBIA,Asthma
TRAF3,Asthma
ITPKA,Asthma
ADAMTSL3,Asthma
IL4R,Asthma
NOD2,Asthma
MAP2K4,Asthma
STAT5B,Asthma
SPATA32,Asthma
OSBPL7,Asthma
SOCS3,Asthma
SMAD7,Asthma
POLI,Asthma
TNFRSF11A,Asthma
SERPINB7,Asthma
GNA15,Asthma
MPND,Asthma
CD70,Asthma
ACO2,Asthma
RTF1,Asthma
PRDM11,Asthma
FADS1,Asthma
AQP5,Asthma
SUOX,Asthma
ZNF652,Asthma
PHB,Asthma
SMAD4,Asthma
PRKCH,Asthma
RIN3,Asthma
RCOR1,Asthma
FURIN,Asthma
TRAP1,Asthma
CCL22,Asthma
SPEM2,Asthma
ATP6V0A1,Asthma
NAGLU,Asthma
ATXN2,Asthma
UNC13D,Asthma
PITPNM2,Asthma
TM9SF2,Asthma
KLF2,Asthma
FPR3,Asthma
BCL2L11,Asthma
ITGAV,Asthma
AP1S3,Asthma
UBE2E2,Asthma
PAPOLG,Asthma
CEP85,Asthma
PLCL1,Asthma
DOCK3,Asthma
ARHGEF3,Asthma
FOXP1,Asthma
SENP7,Asthma
EEFSEC,Asthma
MECOM,Asthma
NDUFS2,Asthma
BOLL,Asthma
TLR10,Asthma
IL2,Asthma
MAP3K14,Asthma
TNFRSF6B,Asthma
TOB2,Asthma
ADAMTS9,Asthma
NUF2,Asthma
PBX1,Asthma
GLT1D1,Asthma
TMEM132D,Asthma
NEGR1,Asthma
LRRIQ3,Asthma
ITSN2,Asthma
NCOA1,Asthma
ARPP21,Asthma
STAC,Asthma
ARHGAP5,Asthma
AKAP6,Asthma
ARID4B,Asthma
RBM34,Asthma
GGPS1,Asthma
ERBB2,Asthma
PGAP3,Asthma
MIEN1,Asthma
IL4,Asthma
VPS13C,Asthma
GJA10,Asthma
MAP3K7,Asthma
CELF2,Asthma
DEXI,Asthma
SOCS1,Asthma
NAB2,Asthma
SPRY4,Asthma
GPX5,Asthma
THRB,Asthma
NR1D2,Asthma
RARB,Asthma
MICB,Asthma
MCCD1,Asthma
EMSY,Asthma
SMAD6,Asthma
AAGAB,Asthma
HLA-DRB1,Asthma
NNMT,Asthma
SEMG2,Asthma
GLI3,Asthma
INHBA,Asthma
C7orf25,Asthma
TMEM9,Asthma
IGFN1,Asthma
BMPER,Asthma
BBS9,Asthma
NPSR1,Asthma
ARHGAP42,Asthma
CNTN5,Asthma
C20orf194,Asthma
SLC4A11,Asthma
ATRN,Asthma
TRPS1,Asthma
EIF3H,Asthma
TMPRSS15,Asthma
NCAM2,Asthma
TNFRSF11B,Asthma
SAMD12,Asthma
COLEC10,Asthma
GDNF,Asthma
EGFLAM,Asthma
IFI44,Asthma
CFHR2,Asthma
CFHR5,Asthma
GNPDA1,Asthma
IRF1,Asthma
GRB7,Asthma
IKZF3,Asthma
FER,Asthma
ZBTB39,Asthma
FBXO11,Asthma
TRPM8,Asthma
GRID1,Asthma
SGCG,Asthma
PDGFRA,Asthma
MAGI1,Asthma
ETV6,Asthma
CDCA7,Asthma
A4GALT,Asthma
SARDH,Asthma
SLC8A1,Asthma
BCR,Asthma
MPPED2,Asthma
KIF16B,Asthma
WDR72,Asthma
ERCC4,Asthma
CLSTN2,Asthma
GRM3,Asthma
GRIN3A,Asthma
CDK5RAP2,Asthma
CSMD3,Asthma
FLRT2,Asthma
PDS5B,Asthma
SLC24A2,Asthma
PREP,Asthma
BAX,Asthma
COPS8,Asthma
LHPP,Asthma
CYTH3,Asthma
SAMD5,Asthma
PTGES,Asthma
MOB3B,Asthma
EQTN,Asthma
TEK,Asthma
GRM4,Asthma
JMJD1C,Asthma
REEP3,Asthma
P4HA2,Asthma
PDLIM4,Asthma
SLC22A4,Asthma
RORC,Asthma
RPTN,Asthma
S100A10,Asthma
S100A11,Asthma
TCHH,Asthma
TCHHL1,Asthma
THEM4,Asthma
THEM5,Asthma
C1orf68,Asthma
C2CD4D,Asthma
CRNN,Asthma
FLG2,Asthma
HRNR,Asthma
KPRP,Asthma
LCE1C,Asthma
LCE1D,Asthma
LCE1E,Asthma
LCE1F,Asthma
LCE2A,Asthma
LCE2B,Asthma
LCE2C,Asthma
LCE2D,Asthma
LCE3A,Asthma
LCE3B,Asthma
LCE3C,Asthma
LCE3D,Asthma
LCE3E,Asthma
LCE4A,Asthma
LCE5A,Asthma
IL18RAP,Asthma
SLC9A2,Asthma
SLC9A4,Asthma
HLA-DPA1,Asthma
HLA-DPB1,Asthma
GPR182,Asthma
HSD17B6,Asthma
MYO1A,Asthma
NACA,Asthma
PRIM1,Asthma
PTGES3,Asthma
RDH16,Asthma
SDR9C7,Asthma
TAC3,Asthma
ABHD16A,Asthma
AIF1,Asthma
APOM,Asthma
ATP6V1G2,Asthma
BAG6,Asthma
C6orf47,Asthma
CCHCR1,Asthma
CLIC1,Asthma
CSNK2B,Asthma
DDAH2,Asthma
DDX39B,Asthma
GPANK1,Asthma
HLA-B,Asthma
LST1,Asthma
LTA,Asthma
LTB,Asthma
LY6G5B,Asthma
LY6G5C,Asthma
LY6G6C,Asthma
LY6G6D,Asthma
LY6G6E,Asthma
LY6G6F,Asthma
MSH5,Asthma
NCR3,Asthma
NFKBIL1,Asthma
POU5F1,Asthma
PRRC2A,Asthma
PSORS1C1,Asthma
PSORS1C2,Asthma
SAPCD1,Asthma
TCF19,Asthma
TNF,Asthma
VWA7,Asthma
LINGO4,Asthma
MRPL9,Asthma
OAZ3,Asthma
RIIAD1,Asthma
TDRKH,Asthma
OR2B3,Asthma
OR2H1,Asthma
OR2J2,Asthma
OR2J3,Asthma
OR2W1,Asthma
OR5V1,Asthma
OR10C1,Asthma
OR11A1,Asthma
OR12D2,Asthma
OR12D3,Asthma
OR14J1,Asthma
ZNF311,Asthma
LCE1A,Asthma
LCE1B,Asthma
LCE6A,Asthma
CAMK4,Asthma
WDR36,Asthma
EFCAB13,Asthma
KPNB1,Asthma
LRRC46,Asthma
MRPL10,Asthma
NPEPPS,Asthma
SCRN2,Asthma
SP6,Asthma
TBKBP1,Asthma
TBX21,Asthma
KIAA1109,Asthma
ERMP1,Asthma
KIAA2026,Asthma
MLANA,Asthma
KDM8,Asthma
NSMCE1,Asthma
RBM17,Asthma
ERBB3,Asthma
ESYT1,Asthma
MYL6,Asthma
MYL6B,Asthma
PA2G4,Asthma
PMEL,Asthma
RAB5B,Asthma
RNF41,Asthma
RPL41,Asthma
RPS26,Asthma
SMARCC2,Asthma
ZC3H10,Asthma
ABI3,Asthma
GNGT2,Asthma
PHOSPHO1,Asthma
TMEM232,Asthma
IL21,Asthma
GLDC,Asthma
TPD52L3,Asthma
UHRF2,Asthma
UVRAG,Asthma
WNT11,Asthma
CASC3,Asthma
CDC6,Asthma
CSF3,Asthma
MED24,Asthma
MSL1,Asthma
NR1D1,Asthma
PSMD3,Asthma
RAPGEFL1,Asthma
RARA,Asthma
THRA,Asthma
WIPF2,Asthma
ARL5C,Asthma
CACNB1,Asthma
CDK12,Asthma
FBXL20,Asthma
MED1,Asthma
NEUROD2,Asthma
PLXDC1,Asthma
PNMT,Asthma
PPP1R1B,Asthma
RPL19,Asthma
STAC2,Asthma
STARD3,Asthma
TCAP,Asthma
IVL,Asthma
LELP1,Asthma
PGLYRP3,Asthma
PGLYRP4,Asthma
PRR9,Asthma
S100A7A,Asthma
S100A7L2,Asthma
S100A8,Asthma
S100A9,Asthma
S100A12,Asthma
SMCP,Asthma
SPRR1A,Asthma
SPRR1B,Asthma
SPRR2A,Asthma
SPRR2B,Asthma
SPRR2D,Asthma
SPRR2E,Asthma
SPRR2F,Asthma
SPRR2G,Asthma
SPRR3,Asthma
SPRR4,Asthma
CCNI2,Asthma
KIF3A,Asthma
BRD2,Asthma
HLA-DMA,Asthma
HLA-DMB,Asthma
HLA-DOB,Asthma
HLA-DQB2,Asthma
PSMB8,Asthma
PSMB9,Asthma
TAP1,Asthma
TAP2,Asthma
HMSD,Asthma
SERPINB2,Asthma
SERPINB10,Asthma
IL5,Asthma
THEMIS,Asthma
OTULIN,Asthma
GPR18,Asthma
GPR183,Asthma
ITGB8,Asthma
CRTAP,Asthma
SUSD5,Asthma
TMPPE,Asthma
CIITA,Asthma
IL1R2,Asthma
MAP4K4,Asthma
GAL3ST2,Asthma
LRRC3C,Asthma
AGER,Asthma
AGPAT1,Asthma
EGFL8,Asthma
GPSM3,Asthma
RNF5,Asthma
C2,Asthma
C4A,Asthma
C4B,Asthma
CFB,Asthma
CYP21A2,Asthma
DXO,Asthma
EHMT2,Asthma
HSPA1A,Asthma
HSPA1B,Asthma
HSPA1L,Asthma
LSM2,Asthma
NELFE,Asthma
NEU1,Asthma
SKIV2L,Asthma
SLC44A4,Asthma
STK19,Asthma
TNXB,Asthma
ZBTB12,Asthma
CAPSL,Asthma
UGT3A1,Asthma
KRT24,Asthma
KRT222,Asthma
SMARCE1,Asthma
AFF4,Asthma
GDF9,Asthma
LEAP2,Asthma
SHROOM1,Asthma
SOWAHA,Asthma
UQCRQ,Asthma
ACBD4,Asthma
C1QL1,Asthma
CCDC103,Asthma
DCAKD,Asthma
EFTUD2,Asthma
FMNL1,Asthma
GFAP,Asthma
HEXIM1,Asthma
HEXIM2,Asthma
KIF18B,Asthma
NMT1,Asthma
PLCD3,Asthma
DDX6,Asthma
IQCH,Asthma
ANKRD16,Asthma
IL15RA,Asthma
PFKFB3,Asthma
INHBC,Asthma
NDUFA4L2,Asthma
NXPH4,Asthma
R3HDM2,Asthma
SHMT2,Asthma
STAC3,Asthma
AP5B1,Asthma
KAT5,Asthma
RELA,Asthma
RNASEH2C,Asthma
SIPA1,Asthma
POU2F1,Asthma
HHEX,Asthma
IDE,Asthma
ARFRP1,Asthma
LIME1,Asthma
SLC2A4RG,Asthma
ZBTB46,Asthma
ZGPAT,Asthma
FEN1,Asthma
MYRF,Asthma
TMEM258,Asthma
PPP2R1B,Asthma
TIAM2,Asthma
PKN3,Asthma
ADAMTS10,Asthma
ACTL9,Asthma
OR1M1,Asthma
CEBPA,Asthma
TSHZ2,Asthma
COL11A2,Asthma
TCP11,Asthma
OLIG3,Asthma
TOMM7,Asthma
POU5F1B,Asthma
DMRTA1,Asthma
ELAVL2,Asthma
PRKCQ,Asthma
MUC5B,Asthma
LAYN,Asthma
INSM2,Asthma
CCR7,Asthma
KRT25,Asthma
ARHGAP27,Asthma
MEX3C,Asthma
SLC19A3,Asthma
ILDR1,Asthma
TFRC,Asthma
FBXO45,Asthma
CEP19,Asthma
RFC1,Asthma
KLB,Asthma
ENO1,Asthma
SPSB1,Asthma
FASLG,Asthma
MYOG,Asthma
ANAPC1,Asthma
TAF3,Asthma
IL21R,Asthma
GTF3C1,Asthma
STARD4,Asthma
SP8,Asthma
ZFP36L1,Asthma
ZFYVE26,Asthma
ACTN1,Asthma
WDR53,Asthma
PIGX,Asthma
PAK2,Asthma
MYBPH,Asthma
CHI3L1,Asthma
PPFIA4,Asthma
CHIT1,Asthma
SYMPK,Asthma
IRF2BP1,Asthma
MYPOP,Asthma
NANOS2,Asthma
RSPH6A,Asthma
CREG1,Asthma
RCSD1,Asthma
KRT26,Asthma
KRT27,Asthma
MACC1,Asthma
CLIC6,Asthma
TNS4,Asthma
FNDC9,Asthma
ITK,Asthma
NIPAL4,Asthma
ADAM19,Asthma
GNA11,Asthma
S1PR4,Asthma
NCLN,Asthma
C15orf61,Asthma
TNFRSF1B,Asthma
MIIP,Asthma
LRP3,Asthma
WDR88,Asthma
ALG2,Asthma
SEC61B,Asthma
GALNT12,Asthma
NEMP1,Asthma
ING5,Asthma
NEU4,Asthma
DTYMK,Asthma
ATG4B,Asthma
TNP2,Asthma
PRM3,Asthma
PRM2,Asthma
PRM1,Asthma
ICE2,Asthma
ANXA2,Asthma
FOXB1,Asthma
BCL6,Asthma
RTP2,Asthma
CASP8AP2,Asthma
MDN1,Asthma
MAP2K5,Asthma
ZNF704,Asthma
MRPS28,Asthma
TLR6,Asthma
FAM114A1,Asthma
KLF3,Asthma
ATP6V1G3,Asthma
BCL9L,Asthma
UPK2,Asthma
FOXR1,Asthma
FOSL1,Asthma
CCDC85B,Asthma
FIBP,Asthma
CTSW,Asthma
C11orf68,Asthma
DRAP1,Asthma
MUC5AC,Asthma
MUC6,Asthma
AP2A2,Asthma
ANKH,Asthma
TRIO,Asthma
BBS12,Asthma
FAM126A,Asthma
ADGRB2,Asthma
PEF1,Asthma
HCRTR1,Asthma
SPOCD1,Asthma
TNK2,Asthma
RNF14,Asthma
PCDH12,Asthma
WDR97,Asthma
CYC1,Asthma
GPAA1,Asthma
EXOSC4,Asthma
NPNT,Asthma
GSTCD,Asthma
TBCK,Asthma
INTS12,Asthma
C16orf82,Asthma
CCR4,Asthma
TRIM71,Asthma
HSD17B4,Asthma
DMXL1,Asthma
FAM170A,Asthma
DTWD2,Asthma
TRPC3,Asthma
BBS7,Asthma
THAP12,Asthma
TSKU,Asthma
KIN,Asthma
DAW1,Asthma
SPHKAP,Asthma
AGFG1,Asthma
CEP83,Asthma
CRADD,Asthma
TMCC3,Asthma
C6orf58,Asthma
SOGA3,Asthma
KIAA0408,Asthma
CREB5,Asthma
TAX1BP1,Asthma
HIBADH,Asthma
TPRG1,Asthma
TRAK2,Breast cancer
SIAH2,Breast cancer
FGF10,Breast cancer
MRPS30,Breast cancer
MAP3K1,Breast cancer
CCDC170,Breast cancer
ESR1,Breast cancer
FGFR2,Breast cancer
PTHLH,Breast cancer
TOX3,Breast cancer
SYT14,Breast cancer
SNRNP27,Breast cancer
ALCAM,Breast cancer
MIER3,Breast cancer
LMX1B,Breast cancer
BCAT1,Breast cancer
FAR2,Breast cancer
CYP19A1,Breast cancer
SETBP1,Breast cancer
CLIC6,Breast cancer
RUNX1,Breast cancer
GLG1,Breast cancer
ECHDC1,Breast cancer
RNF146,Breast cancer
TNIP3,Breast cancer
SLC45A1,Breast cancer
ZNF365,Breast cancer
LSP1,Breast cancer
SLC4A7,Breast cancer
CDKN2A,Breast cancer
CDKN2B,Breast cancer
ZMIZ1,Breast cancer
ANKRD16,Breast cancer
FGF3,Breast cancer
MYEOV,Breast cancer
CCND1,Breast cancer
FGF19,Breast cancer
FGF4,Breast cancer
KLF4,Breast cancer
ACTL7A,Breast cancer
RAD23B,Breast cancer
FBN1,Breast cancer
COL1A1,Breast cancer
GRIK1,Breast cancer
ABCC4,Breast cancer
ERBB4,Breast cancer
TERT,Breast cancer
PEX14,Breast cancer
EBF1,Breast cancer
NTN4,Breast cancer
BRCA2,Breast cancer
N4BP2L1,Breast cancer
FTO,Breast cancer
LRRN2,Breast cancer
PIK3C2B,Breast cancer
MDM4,Breast cancer
LGR6,Breast cancer
UBE2T,Breast cancer
PTPN7,Breast cancer
SSBP4,Breast cancer
ISYNA1,Breast cancer
ELL,Breast cancer
EMID1,Breast cancer
RHBDD3,Breast cancer
EWSR1,Breast cancer
CHEK2,Breast cancer
ARHGEF5,Breast cancer
NOBOX,Breast cancer
TCF7L2,Breast cancer
CHST9,Breast cancer
COX11,Breast cancer
NRIP1,Breast cancer
BCL2L15,Breast cancer
AP4B1,Breast cancer
DCLRE1B,Breast cancer
HIPK1,Breast cancer
PTPN22,Breast cancer
METAP1D,Breast cancer
DLX1,Breast cancer
DLX2,Breast cancer
KCNN4,Breast cancer
LYPD5,Breast cancer
ZNF283,Breast cancer
RANBP9,Breast cancer
MYC,Breast cancer
DNAJC1,Breast cancer
MLLT10,Breast cancer
OVOL1,Breast cancer
SNX32,Breast cancer
CFL1,Breast cancer
MUS81,Breast cancer
N4BP2L2,Breast cancer
PAX9,Breast cancer
SLC25A21,Breast cancer
CCDC88C,Breast cancer
CDYL2,Breast cancer
ITPR1,Breast cancer
TGFBR2,Breast cancer
TET2,Breast cancer
ADAM29,Breast cancer
RAB3C,Breast cancer
FOXQ1,Breast cancer
CDCA7,Breast cancer
PDE4D,Breast cancer
HNF4G,Breast cancer
ANKLE1,Breast cancer
ABHD8,Breast cancer
ROPN1L,Breast cancer
ZNF577,Breast cancer
TAB2,Breast cancer
TMEM45B,Breast cancer
BARX2,Breast cancer
CTNNA2,Breast cancer
ZC3H11A,Breast cancer
ARRDC3,Breast cancer
PRC1,Breast cancer
IGFBP5,Breast cancer
RAD51B,Breast cancer
TBX3,Breast cancer
EXO1,Breast cancer
APOBEC3A,Breast cancer
APOBEC3B,Breast cancer
AKAP9,Breast cancer
OTUD7B,Breast cancer
TNFSF10,Breast cancer
BAIAP2,Breast cancer
ATF7IP,Breast cancer
GALC,Breast cancer
RALY,Breast cancer
EIF2S2,Breast cancer
ASIP,Breast cancer
LMO4,Breast cancer
INHBB,Breast cancer
WDR43,Breast cancer
FAM126B,Breast cancer
NDUFB3,Breast cancer
CLK1,Breast cancer
PPIL3,Breast cancer
KLF5,Breast cancer
KLF12,Breast cancer
NREP,Breast cancer
AMFR,Breast cancer
CUX1,Breast cancer
HELQ,Breast cancer
L3MBTL3,Breast cancer
GATAD2A,Breast cancer
ASTN2,Breast cancer
KANSL1,Breast cancer
ESRRG,Breast cancer
GIPR,Breast cancer
TRIM46,Breast cancer
CREB5,Breast cancer
KLHDC7A,Breast cancer
ZBTB38,Breast cancer
GAREM1,Breast cancer
PIK3R3,Breast cancer
HIVEP3,Breast cancer
FOXP1,Breast cancer
VGLL3,Breast cancer
CDKAL1,Breast cancer
HSPA4,Breast cancer
PLA2G6,Breast cancer
ATXN1,Breast cancer
ADCY3,Breast cancer
PIDD1,Breast cancer
DNAH11,Breast cancer
CDCA7L,Breast cancer
NEK10,Breast cancer
ADCY9,Breast cancer
CDH2,Breast cancer
NCOA1,Breast cancer
TSPAN16,Breast cancer
CCNE1,Breast cancer
ANXA13,Breast cancer
CMSS1,Breast cancer
FILIP1L,Breast cancer
AHRR,Breast cancer
XRCC6,Breast cancer
GRHL1,Breast cancer
BCL2L11,Breast cancer
MCM8,Breast cancer
PHLDA3,Breast cancer
CNTNAP1,Breast cancer
ABO,Breast cancer
CASP8,Breast cancer
ATG10,Breast cancer
RIN3,Breast cancer
RNF115,Breast cancer
ATAD5,Breast cancer
NBPF10,Breast cancer
